Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:01:04.452,2023-04-26 17:01:04.2,252,1,15+1+4.2
2023-04-26 17:01:04.724,2023-04-26 17:01:04.4,324,1,15+1+4.4
2023-04-26 17:01:05.188,2023-04-26 17:01:04.6,588,1,15+1+4.6
2023-04-26 17:01:05.251,2023-04-26 17:01:04.8,451,1,15+1+4.8
2023-04-26 17:01:05.251,2023-04-26 17:01:05.0,251,1,15+1+5.0
2023-04-26 17:01:05.325,2023-04-26 17:01:05.0,325,1,15+1+5.0
2023-04-26 17:01:05.325,2023-04-26 17:01:05.0,325,1,15+1+5.0
2023-04-26 17:01:05.592,2023-04-26 17:01:05.2,392,1,15+1+5.2
2023-04-26 17:01:05.688,2023-04-26 17:01:05.4,288,1,15+1+5.4
2023-04-26 17:01:06.122,2023-04-26 17:01:05.8,322,1,15+1+5.8
2023-04-26 17:01:06.288,2023-04-26 17:01:06.0,288,1,15+1+6.0
2023-04-26 17:01:06.288,2023-04-26 17:01:06.0,288,1,15+1+6.0
2023-04-26 17:01:06.532,2023-04-26 17:01:06.2,332,1,15+1+6.2
2023-04-26 17:01:06.69,2023-04-26 17:01:06.4,290,1,15+1+6.4
2023-04-26 17:01:06.922,2023-04-26 17:01:06.6,322,1,15+1+6.6
2023-04-26 17:01:07.099,2023-04-26 17:01:06.8,299,1,15+1+6.8
2023-04-26 17:01:07.296,2023-04-26 17:01:07.0,296,1,15+1+7.0
2023-04-26 17:01:07.437,2023-04-26 17:01:07.0,437,1,15+1+7.0
2023-04-26 17:01:07.437,2023-04-26 17:01:07.0,437,1,15+1+7.0
2023-04-26 17:01:07.531,2023-04-26 17:01:07.2,331,1,15+1+7.2
2023-04-26 17:01:07.719,2023-04-26 17:01:07.4,319,1,15+1+7.4
2023-04-26 17:01:07.933,2023-04-26 17:01:07.6,333,1,15+1+7.6
2023-04-26 17:01:08.131,2023-04-26 17:01:07.8,331,1,15+1+7.8
2023-04-26 17:01:08.328,2023-04-26 17:01:08.0,328,1,15+1+8.0
2023-04-26 17:01:08.328,2023-04-26 17:01:08.0,328,1,15+1+8.0
2023-04-26 17:01:08.328,2023-04-26 17:01:08.0,328,1,15+1+8.0
2023-04-26 17:01:08.465,2023-04-26 17:01:08.2,265,1,15+1+8.2
2023-04-26 17:01:08.696,2023-04-26 17:01:08.4,296,1,15+1+8.4
2023-04-26 17:01:08.937,2023-04-26 17:01:08.6,337,1,15+1+8.6
