Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-04-27 09:17:45.445,46.0656968,11.0969959,310.04,350.79,1.44,null
SMAR,2023-04-27 09:17:45.476,46.0656968,11.0969959,309.89,350.75,1.51,null
STON,2023-04-27 09:17:45.476,46.06572679666667,11.096974899833333,-1.342388,278.159058,0.054674,1
SMAR,2023-04-27 09:17:45.504,46.0656968,11.0969959,309.75,350.56,1.62,null
SMAR,2023-04-27 09:17:45.541,46.0656968,11.0969959,309.7,350.42,1.66,null
SMAR,2023-04-27 09:17:45.569,46.0656968,11.0969959,309.58,350.46,1.64,null
SMAR,2023-04-27 09:17:45.609,46.0656968,11.0969959,309.37,350.6,1.6,null
SMAR,2023-04-27 09:17:45.645,46.0656968,11.0969959,309.29,350.76,1.56,null
SMAR,2023-04-27 09:17:45.685,46.0656968,11.0969959,309.3,350.91,1.56,null
SMAR,2023-04-27 09:17:45.708,46.0656968,11.0969959,309.43,351.06,1.44,null
STON,2023-04-27 09:17:45.708,46.06572679666667,11.096974899833333,-1.340894,278.18821,0.054535,1
SMAR,2023-04-27 09:17:45.741,46.0656968,11.0969959,309.73,351.08,1.33,null
SMAR,2023-04-27 09:17:45.778,46.0656968,11.0969959,310.12,350.99,1.29,null
SMAR,2023-04-27 09:17:45.813,46.0656968,11.0969959,310.51,350.88,1.22,null
SMAR,2023-04-27 09:17:45.848,46.0656968,11.0969959,310.64,350.78,1.1,null
SMAR,2023-04-27 09:17:45.88,46.0656968,11.0969959,310.46,350.73,1.06,null
SMAR,2023-04-27 09:17:45.916,46.0656968,11.0969959,310.2,350.76,1.04,null
STON,2023-04-27 09:17:45.916,46.06572679666667,11.096974899833333,-1.342435,278.178703,0.056908,1
SMAR,2023-04-27 09:17:45.95,46.0656968,11.0969959,310.01,350.63,1.14,null
SMAR,2023-04-27 09:17:45.984,46.0656968,11.0969959,310.14,350.38,1.28,null
SMAR,2023-04-27 09:17:46.012,46.0656968,11.0969959,310.4,350.22,1.23,null
SMAR,2023-04-27 09:17:46.044,46.0656968,11.0969959,310.53,350.18,1.12,null
SMAR,2023-04-27 09:17:46.079,46.0656968,11.0969959,310.7,350.11,0.99,null
STON,2023-04-27 09:17:46.079,46.06572679666667,11.096974899833333,-1.344063,278.158257,0.056554,1
SMAR,2023-04-27 09:17:46.102,46.0656968,11.0969959,310.91,349.96,0.87,null
SMAR,2023-04-27 09:17:46.145,46.0656968,11.0969959,311.09,349.73,0.83,null
SMAR,2023-04-27 09:17:46.182,46.0656968,11.0969959,311.34,349.46,0.85,null
SMAR,2023-04-27 09:17:46.217,46.0656968,11.0969959,311.78,349.18,0.87,null
SMAR,2023-04-27 09:17:46.248,46.0656968,11.0969959,312.19,348.92,0.93,null
SMAR,2023-04-27 09:17:46.28,46.0656966,11.0969984,312.58,348.79,0.91,null
SMAR,2023-04-27 09:17:46.31,46.0656966,11.0969984,312.9,348.86,0.79,null
SMAR,2023-04-27 09:17:46.343,46.0656966,11.0969984,313.09,348.94,0.78,null
SMAR,2023-04-27 09:17:46.377,46.0656966,11.0969984,313.45,348.9,0.86,null
SMAR,2023-04-27 09:17:46.409,46.0656966,11.0969984,313.86,348.73,1.01,null
SMAR,2023-04-27 09:17:46.443,46.0656966,11.0969984,314.26,348.55,1.11,null
SMAR,2023-04-27 09:17:46.476,46.0656966,11.0969984,314.5,348.47,1.11,null
SMAR,2023-04-27 09:17:46.516,46.0656966,11.0969984,314.65,348.39,1.23,null
SMAR,2023-04-27 09:17:46.545,46.0656966,11.0969984,314.67,348.25,1.44,null
SMAR,2023-04-27 09:17:46.582,46.0656966,11.0969984,314.55,348.07,1.66,null
STON,2023-04-27 09:17:46.582,46.06572679666667,11.096974899833333,-1.340901,278.176308,0.059244,1
SMAR,2023-04-27 09:17:46.608,46.0656966,11.0969984,314.41,347.97,1.74,null
SMAR,2023-04-27 09:17:46.647,46.0656966,11.0969984,314.43,347.9,1.8,null
SMAR,2023-04-27 09:17:46.688,46.0656966,11.0969984,314.68,347.81,1.88,null
STON,2023-04-27 09:17:46.688,46.065726816,11.096974928666667,-1.340901,278.176308,0.059244,1
SMAR,2023-04-27 09:17:46.713,46.0656966,11.0969984,315.14,347.77,1.87,null
STON,2023-04-27 09:17:46.713,46.065726816,11.096974928666667,-1.340901,278.176308,0.059244,1
STON,2023-04-27 09:17:46.713,46.065726816,11.096974928666667,-1.343284,278.175591,0.059019,1
STON,2023-04-27 09:17:46.713,46.065726816,11.096974928666667,-1.342512,278.186623,0.060916,1
SMAR,2023-04-27 09:17:46.746,46.0656966,11.0969984,315.52,347.64,1.92,null
SMAR,2023-04-27 09:17:46.786,46.0656966,11.0969984,315.86,347.31,2.12,null
SMAR,2023-04-27 09:17:46.811,46.0656966,11.0969984,316.22,346.99,2.37,null
SMAR,2023-04-27 09:17:46.845,46.0656966,11.0969984,316.53,346.71,2.65,null
SMAR,2023-04-27 09:17:46.876,46.0656966,11.0969984,316.71,346.61,2.85,null
STON,2023-04-27 09:17:46.876,46.065726816,11.096974928666667,-1.344347,278.208595,0.057351,1
SMAR,2023-04-27 09:17:46.918,46.0656966,11.0969984,316.73,346.66,2.94,null
SMAR,2023-04-27 09:17:46.945,46.0656966,11.0969984,317.01,346.69,2.87,null
