Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
SMAR,2023-04-04 12:36:18:829 GMT+02:00 2023,46.0898265,11.1157382,251.44,111.55,85.65,null
SMAR,2023-04-04 12:36:18:861 GMT+02:00 2023,46.0898265,11.1157382,250.84,111.88,85.65,null
SMAR,2023-04-04 12:36:18:895 GMT+02:00 2023,46.0898265,11.1157382,251.12,111.15,85.65,null
STON,2023-04-04 12:36:18:898 GMT+02:00 2023,46.089801568333336,11.115510536666667,3.00129,111.750763,-1.058982,1
SMAR,2023-04-04 12:36:18:921 GMT+02:00 2023,46.0898265,11.1157382,251.64,110.12,85.64,null
SMAR,2023-04-04 12:36:18:958 GMT+02:00 2023,46.0898265,11.1157382,252.09,109.24,85.61,null
SMAR,2023-04-04 12:36:18:993 GMT+02:00 2023,46.0898265,11.1157382,252.17,108.85,85.58,null
SMAR,2023-04-04 12:36:19:026 GMT+02:00 2023,46.0898265,11.1157382,252.48,108.45,85.56,null
SMAR,2023-04-04 12:36:19:059 GMT+02:00 2023,46.0898265,11.1157382,252.56,108.34,85.54,null
SMAR,2023-04-04 12:36:19:091 GMT+02:00 2023,46.0898265,11.1157382,252.86,108.01,85.54,null
STON,2023-04-04 12:36:19:100 GMT+02:00 2023,46.089801568333336,11.115510536666667,2.990697,113.864777,-1.172532,1
SMAR,2023-04-04 12:36:19:125 GMT+02:00 2023,46.0898265,11.1157382,253.39,107.44,85.54,null
SMAR,2023-04-04 12:36:19:161 GMT+02:00 2023,46.0898267,11.1157325,254.76,106.11,85.55,null
SMAR,2023-04-04 12:36:19:200 GMT+02:00 2023,46.0898267,11.1157325,256.76,104.37,85.57,null
SMAR,2023-04-04 12:36:19:231 GMT+02:00 2023,46.0898267,11.1157325,258.85,102.62,85.62,null
SMAR,2023-04-04 12:36:19:264 GMT+02:00 2023,46.0898267,11.1157325,261.79,99.98,85.66,null
SMAR,2023-04-04 12:36:19:293 GMT+02:00 2023,46.0898267,11.1157325,264.49,97.63,85.69,null
SMAR,2023-04-04 12:36:19:333 GMT+02:00 2023,46.0898267,11.1157325,266.91,95.44,85.7,null
SMAR,2023-04-04 12:36:19:366 GMT+02:00 2023,46.0898267,11.1157325,268.16,94.24,85.67,null
SMAR,2023-04-04 12:36:19:400 GMT+02:00 2023,46.0898267,11.1157325,268.26,94.08,85.68,null
SMAR,2023-04-04 12:36:19:431 GMT+02:00 2023,46.0898267,11.1157325,267.81,94.41,85.69,null
STON,2023-04-04 12:36:19:449 GMT+02:00 2023,46.089801568333336,11.115510536666667,2.963194,113.980026,-1.282695,1
SMAR,2023-04-04 12:36:19:466 GMT+02:00 2023,46.0898267,11.1157325,267.32,94.73,85.66,null
STON,2023-04-04 12:36:19:477 GMT+02:00 2023,46.089801568333336,11.115510536666667,2.868072,113.955254,-1.356902,1
SMAR,2023-04-04 12:36:19:490 GMT+02:00 2023,46.0898267,11.1157325,267.09,94.89,85.67,null
SMAR,2023-04-04 12:36:19:528 GMT+02:00 2023,46.0898267,11.1157325,267.28,94.65,85.68,null
SMAR,2023-04-04 12:36:19:563 GMT+02:00 2023,46.0898267,11.1157325,267.64,94.22,85.65,null
SMAR,2023-04-04 12:36:19:590 GMT+02:00 2023,46.0898267,11.1157325,267.17,94.59,85.65,null
SMAR,2023-04-04 12:36:19:635 GMT+02:00 2023,46.0898267,11.1157325,267.12,94.58,85.66,null
STON,2023-04-04 12:36:19:664 GMT+02:00 2023,46.089801568333336,11.115510536666667,2.777774,114.100006,-1.396273,1
SMAR,2023-04-04 12:36:19:668 GMT+02:00 2023,46.0898267,11.1157325,267.46,94.19,85.64,null
SMAR,2023-04-04 12:36:19:703 GMT+02:00 2023,46.0898267,11.1157325,267.8,93.78,85.64,null
STON,2023-04-04 12:36:19:714 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.777774,114.100006,-1.396273,1
STON,2023-04-04 12:36:19:719 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.777774,114.100006,-1.396273,1
SMAR,2023-04-04 12:36:19:724 GMT+02:00 2023,46.0898267,11.1157325,267.77,93.66,85.66,null
SMAR,2023-04-04 12:36:19:767 GMT+02:00 2023,46.0898267,11.1157325,267.46,93.7,85.63,null
SMAR,2023-04-04 12:36:19:803 GMT+02:00 2023,46.0898267,11.1157325,267.46,93.54,85.65,null
SMAR,2023-04-04 12:36:19:838 GMT+02:00 2023,46.0898267,11.1157325,267.64,93.29,85.66,null
SMAR,2023-04-04 12:36:19:871 GMT+02:00 2023,46.0898267,11.1157325,267.86,93.04,85.65,null
STON,2023-04-04 12:36:19:875 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.665084,114.468689,-1.433349,1
SMAR,2023-04-04 12:36:19:901 GMT+02:00 2023,46.0898267,11.1157325,267.97,92.95,85.67,null
SMAR,2023-04-04 12:36:19:934 GMT+02:00 2023,46.0898267,11.1157325,267.72,93.24,85.68,null
SMAR,2023-04-04 12:36:19:968 GMT+02:00 2023,46.0898267,11.1157325,267.5,93.45,85.66,null
SMAR,2023-04-04 12:36:19:000 GMT+02:00 2023,46.0898267,11.1157325,267.83,93.14,85.68,null
SMAR,2023-04-04 12:36:20:032 GMT+02:00 2023,46.0898267,11.1157325,268.29,92.63,85.71,null
SMAR,2023-04-04 12:36:20:066 GMT+02:00 2023,46.0898267,11.1157325,268.27,92.53,85.69,null
STON,2023-04-04 12:36:20:070 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.58551,114.399559,-1.477563,1
SMAR,2023-04-04 12:36:20:103 GMT+02:00 2023,46.0898301,11.1157231,268.51,92.21,85.71,null
SMAR,2023-04-04 12:36:20:134 GMT+02:00 2023,46.0898301,11.1157231,268.84,91.8,85.73,null
SMAR,2023-04-04 12:36:20:168 GMT+02:00 2023,46.0898301,11.1157231,269.11,91.46,85.73,null
SMAR,2023-04-04 12:36:20:197 GMT+02:00 2023,46.0898301,11.1157231,269.48,91.06,85.75,null
SMAR,2023-04-04 12:36:20:234 GMT+02:00 2023,46.0898301,11.1157231,269.78,90.73,85.77,null
STON,2023-04-04 12:36:20:265 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.455618,114.868004,-1.450112,1
SMAR,2023-04-04 12:36:20:269 GMT+02:00 2023,46.0898301,11.1157231,270.34,90.21,85.77,null
SMAR,2023-04-04 12:36:20:299 GMT+02:00 2023,46.0898301,11.1157231,271.35,89.28,85.79,null
SMAR,2023-04-04 12:36:20:335 GMT+02:00 2023,46.0898301,11.1157231,271.98,88.66,85.81,null
SMAR,2023-04-04 12:36:20:369 GMT+02:00 2023,46.0898301,11.1157231,272.49,88.11,85.81,null
SMAR,2023-04-04 12:36:20:404 GMT+02:00 2023,46.0898301,11.1157231,273.03,87.58,85.82,null
SMAR,2023-04-04 12:36:20:435 GMT+02:00 2023,46.0898301,11.1157231,273.38,87.24,85.84,null
SMAR,2023-04-04 12:36:20:466 GMT+02:00 2023,46.0898301,11.1157231,273.71,86.88,85.84,null
STON,2023-04-04 12:36:20:473 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.304213,115.004387,-1.403141,1
SMAR,2023-04-04 12:36:20:503 GMT+02:00 2023,46.0898301,11.1157231,273.95,86.58,85.85,null
SMAR,2023-04-04 12:36:20:534 GMT+02:00 2023,46.0898301,11.1157231,274.16,86.32,85.86,null
SMAR,2023-04-04 12:36:20:571 GMT+02:00 2023,46.0898301,11.1157231,274.17,86.27,85.87,null
SMAR,2023-04-04 12:36:20:604 GMT+02:00 2023,46.0898301,11.1157231,274.39,86.03,85.88,null
SMAR,2023-04-04 12:36:20:638 GMT+02:00 2023,46.0898301,11.1157231,274.65,85.76,85.89,null
SMAR,2023-04-04 12:36:20:668 GMT+02:00 2023,46.0898301,11.1157231,274.85,85.6,85.9,null
STON,2023-04-04 12:36:20:674 GMT+02:00 2023,46.08980169666667,11.115510841666667,2.196199,115.246185,-1.448343,1
SMAR,2023-04-04 12:36:20:703 GMT+02:00 2023,46.0898301,11.1157231,275.13,85.37,85.9,null
SMAR,2023-04-04 12:36:20:735 GMT+02:00 2023,46.0898301,11.1157231,275.31,85.21,85.91,null
STON,2023-04-04 12:36:20:743 GMT+02:00 2023,46.089801566666665,11.115511033333334,2.196199,115.246185,-1.448343,1
STON,2023-04-04 12:36:20:753 GMT+02:00 2023,46.089801566666665,11.115511033333334,2.196199,115.246185,-1.448343,1
SMAR,2023-04-04 12:36:20:773 GMT+02:00 2023,46.0898301,11.1157231,275.36,85.16,85.92,null
SMAR,2023-04-04 12:36:20:801 GMT+02:00 2023,46.0898301,11.1157231,275.35,85.13,85.93,null
SMAR,2023-04-04 12:36:20:835 GMT+02:00 2023,46.0898301,11.1157231,275.4,84.98,85.94,null
